dia,horario,pilar,formato,texto,cta,visual
1,05:30,Oração da manhã,Imagem,"Antes de tocar nas preocupações, toque o coração de Deus. Senhor, recebe este dia e ensina-nos a caminhar com esperança. Amém.","Escreva sua intenção em uma palavra.","Luz suave entrando por uma janela, Bíblia aberta e rosário, azul profundo e ouro"
1,07:30,Palavra,Imagem,"A esperança cristã não ignora a dor; ela se recusa a acreditar que a dor terá a última palavra. “Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.” — Rm 12,12","Salve para reler durante o dia.","Amanhecer sobre estrada longa, tipografia editorial sacra"
1,09:30,Santo da semana,Carrossel,"São Carlo Acutis viveu o extraordinário sem fugir do cotidiano. Escola, amigos, tecnologia, Eucaristia e serviço: santidade também começa onde você já está.","Qual aspecto da vida dele você quer conhecer?","Retrato editorial simbólico de jovem peregrino, igreja ao fundo, sem imitar pessoa real"
1,11:30,Pausa de oração,Imagem,"Pare por um minuto. Respire. Diga lentamente: Jesus, eu confio em Vós. Repita até o coração diminuir o passo.","Envie a alguém que precisa desta pausa.","Mãos repousadas, vela acesa, atmosfera silenciosa"
1,13:30,Formação,Texto,"Jejum não é punição. É liberdade treinada: dizer não ao excesso para que o coração volte a dizer sim a Deus com inteireza.","Hoje, escolha uma pequena renúncia discreta.","Mesa simples com pão, água e cruz de madeira"
1,15:30,Esperança,Imagem,"Talvez você não consiga resolver tudo hoje. Mas pode entregar tudo a Deus hoje. Há uma paz que começa quando paramos de carregar o mundo sozinhos.","Compartilhe com delicadeza.","Pessoa diante de horizonte luminoso, composição contemplativa"
1,17:30,Nossa Senhora,Imagem,"Nossa Senhora, ensina-nos a guardar a Palavra quando ainda não compreendemos o caminho. Cobre de ternura quem chegou até aqui cansado.","Reze uma Ave-Maria por alguém.","Manto azul, lírios e luz dourada, arte sacra respeitosa"
1,19:30,Exame do dia,Texto,"Três perguntas antes de dormir: pelo que agradeço? Onde preciso pedir perdão? A quem devo entregar nas mãos de Deus?","Faça este exame em silêncio.","Caderno, caneta e luz baixa"
1,21:00,Oração da noite,Imagem,"Senhor, visita os lares inquietos, consola quem chora escondido e concede descanso a quem perdeu a paz. Guarda-nos nesta noite. Amém.","Deixe um nome para incluirmos em oração.","Janela noturna com vela e céu estrelado"
1,22:15,Convite,Imagem,"Há pessoas rezando por intenções que talvez nunca conheçam. É assim que a esperança cria raízes: alguém permanece quando o outro já não consegue.","Entre no grupo gratuito da SPES.","Círculo de velas em comunidade, espaço central para texto"
2,05:30,Oração da manhã,Imagem,"Deus de misericórdia, dá-nos força para o que precisa ser enfrentado e serenidade para o que deve ser entregue. Conduze o nosso dia.","Diga: guia-me, Senhor.","Primeira luz sobre igreja simples"
2,07:30,Salmo,Imagem,"“Somente em Deus, ó minha alma, repousa, porque dele vem a minha esperança.” — Sl 62,6","Leia novamente sem pressa.","Mar calmo, âncora discreta e luz celeste"
2,09:30,Santo da semana,Carrossel,"Carlo Acutis não usou a internet para ocupar o centro, mas para apontar para Cristo. A pergunta para hoje: o que a nossa presença digital está espalhando?","Escolha publicar algo que faça bem.","Tela iluminada ao lado de ostensório simbólico, sem fusão irreverente"
